optimized_file,num_loops_opt,num_instructions_opt,num_blocks_opt,num_temporaries_opt,num_calls_opt,num_constants_opt,base_file,pass_order,num_loops_orig,num_instructions_orig,num_blocks_orig,num_temporaries_orig,num_calls_orig,num_constants_orig
BuscaBinária/BuscaBinária__instcombine_sroa_licm_dce_sccp_mem2reg.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_licm_dce_sccp_mem2reg,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_licm_dce_mem2reg_sccp.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_licm_dce_mem2reg_sccp,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_licm_sccp_dce_mem2reg.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_licm_sccp_dce_mem2reg,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_licm_sccp_mem2reg_dce.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_licm_sccp_mem2reg_dce,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_licm_mem2reg_dce_sccp.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_licm_mem2reg_dce_sccp,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_licm_mem2reg_sccp_dce.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_licm_mem2reg_sccp_dce,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_licm_sccp_mem2reg.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_dce_licm_sccp_mem2reg,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_licm_mem2reg_sccp.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_dce_licm_mem2reg_sccp,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_sccp_licm_mem2reg.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_dce_sccp_licm_mem2reg,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_sccp_mem2reg_licm.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_dce_sccp_mem2reg_licm,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_mem2reg_licm_sccp.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_dce_mem2reg_licm_sccp,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_mem2reg_sccp_licm.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_dce_mem2reg_sccp_licm,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_licm_dce_mem2reg.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_sccp_licm_dce_mem2reg,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_licm_mem2reg_dce.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_sccp_licm_mem2reg_dce,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_dce_licm_mem2reg.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_sccp_dce_licm_mem2reg,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_dce_mem2reg_licm.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_sccp_dce_mem2reg_licm,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_mem2reg_licm_dce.ll,0,43,10,137,3,22,BuscaBinária.ll,instcombine_sroa_sccp_mem2reg_licm_dce,0,43,10,137,3,22
