file,num_loops,num_instructions,num_blocks,num_temporaries,num_calls,num_constants
BuscaBinária/BuscaBinária__instcombine_sroa_licm_dce_sccp_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_licm_dce_mem2reg_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_licm_sccp_dce_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_licm_sccp_mem2reg_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_licm_mem2reg_dce_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_licm_mem2reg_sccp_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_licm_sccp_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_licm_mem2reg_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_sccp_licm_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_sccp_mem2reg_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_mem2reg_licm_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_dce_mem2reg_sccp_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_licm_dce_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_licm_mem2reg_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_dce_licm_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_dce_mem2reg_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_mem2reg_licm_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_sccp_mem2reg_dce_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_mem2reg_licm_dce_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_mem2reg_licm_sccp_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_mem2reg_dce_licm_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_mem2reg_dce_sccp_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_mem2reg_sccp_licm_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sroa_mem2reg_sccp_dce_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sroa_dce_sccp_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sroa_dce_mem2reg_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sroa_sccp_dce_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sroa_sccp_mem2reg_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sroa_mem2reg_dce_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sroa_mem2reg_sccp_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_dce_sroa_sccp_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_dce_sroa_mem2reg_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_dce_sccp_sroa_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_dce_sccp_mem2reg_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_dce_mem2reg_sroa_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_dce_mem2reg_sccp_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sccp_sroa_dce_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sccp_sroa_mem2reg_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sccp_dce_sroa_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sccp_dce_mem2reg_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sccp_mem2reg_sroa_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_sccp_mem2reg_dce_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_mem2reg_sroa_dce_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_mem2reg_sroa_sccp_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_mem2reg_dce_sroa_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_mem2reg_dce_sccp_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_mem2reg_sccp_sroa_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_licm_mem2reg_sccp_dce_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sroa_licm_sccp_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sroa_licm_mem2reg_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sroa_sccp_licm_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sroa_sccp_mem2reg_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sroa_mem2reg_licm_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sroa_mem2reg_sccp_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_licm_sroa_sccp_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_licm_sroa_mem2reg_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_licm_sccp_sroa_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_licm_sccp_mem2reg_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_licm_mem2reg_sroa_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_licm_mem2reg_sccp_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sccp_sroa_licm_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sccp_sroa_mem2reg_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sccp_licm_sroa_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sccp_licm_mem2reg_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sccp_mem2reg_sroa_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_sccp_mem2reg_licm_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_mem2reg_sroa_licm_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_mem2reg_sroa_sccp_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_mem2reg_licm_sroa_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_mem2reg_licm_sccp_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_mem2reg_sccp_sroa_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_dce_mem2reg_sccp_licm_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_sroa_licm_dce_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_sroa_licm_mem2reg_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_sroa_dce_licm_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_sroa_dce_mem2reg_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_sroa_mem2reg_licm_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_sroa_mem2reg_dce_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_licm_sroa_dce_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_licm_sroa_mem2reg_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_licm_dce_sroa_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_licm_dce_mem2reg_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_licm_mem2reg_sroa_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_licm_mem2reg_dce_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_dce_sroa_licm_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_dce_sroa_mem2reg_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_dce_licm_sroa_mem2reg.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_dce_licm_mem2reg_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_dce_mem2reg_sroa_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_dce_mem2reg_licm_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_mem2reg_sroa_licm_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_mem2reg_sroa_dce_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_mem2reg_licm_sroa_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_mem2reg_licm_dce_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_mem2reg_dce_sroa_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_sccp_mem2reg_dce_licm_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_sroa_licm_dce_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_sroa_licm_sccp_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_sroa_dce_licm_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_sroa_dce_sccp_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_sroa_sccp_licm_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_sroa_sccp_dce_licm.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_licm_sroa_dce_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_licm_sroa_sccp_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_licm_dce_sroa_sccp.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_licm_dce_sccp_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_licm_sccp_sroa_dce.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_licm_sccp_dce_sroa.ll,0,43,10,137,3,22
BuscaBinária/BuscaBinária__instcombine_mem2reg_dce_sroa_licm_sccp.ll,0,43,10,137,3,22
