file,binary_size,num_instructions_opt,num_instructions_removed,num_load_store
BuscaBinária/BuscaBinária__default.ll,16128,19,24,1
BuscaLinear/BuscaLinear__default.ll,16120,11,18,1
ContaOcorrencia/ContaOcorrencia__default.ll,16120,13,15,1
FatorialRecursivo/FatorialRecursivo__default.ll,16128,7,9,0
FibonacciIterativo/FibonacciIterativo__default.ll,16128,8,13,0
MDC/MDC__default.ll,16104,6,15,0
OrdenaçãoBubble/OrdenaçãoBubble__default.ll,16128,23,45,5
PotenciaRecursivo/PotenciaRecursivo__default.ll,16128,7,14,0
SomaElementos/SomaElementos__default.ll,16120,11,13,1
VerificaPrimo/VerificaPrimo__default.ll,16120,12,14,0
