permutation,status,message
"instcombine,sroa,gvn,dce,sccp,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,gvn,dce,mem2reg,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,gvn,sccp,dce,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,gvn,sccp,mem2reg,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,gvn,mem2reg,dce,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,gvn,mem2reg,sccp,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,dce,gvn,sccp,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,dce,gvn,mem2reg,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,dce,sccp,gvn,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,dce,sccp,mem2reg,gvn",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,dce,mem2reg,gvn,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,dce,mem2reg,sccp,gvn",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,sccp,gvn,dce,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,sccp,gvn,mem2reg,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,sccp,dce,gvn,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,sccp,dce,mem2reg,gvn",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,sccp,mem2reg,gvn,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,sccp,mem2reg,dce,gvn",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,mem2reg,gvn,dce,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,mem2reg,gvn,sccp,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,mem2reg,dce,gvn,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,mem2reg,dce,sccp,gvn",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,mem2reg,sccp,gvn,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,sroa,mem2reg,sccp,dce,gvn",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sroa,dce,sccp,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sroa,dce,mem2reg,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sroa,sccp,dce,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sroa,sccp,mem2reg,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sroa,mem2reg,dce,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sroa,mem2reg,sccp,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,dce,sroa,sccp,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,dce,sroa,mem2reg,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,dce,sccp,sroa,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,dce,sccp,mem2reg,sroa",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,dce,mem2reg,sroa,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,dce,mem2reg,sccp,sroa",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sccp,sroa,dce,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sccp,sroa,mem2reg,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sccp,dce,sroa,mem2reg",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sccp,dce,mem2reg,sroa",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sccp,mem2reg,sroa,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,sccp,mem2reg,dce,sroa",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,mem2reg,sroa,dce,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,mem2reg,sroa,sccp,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,mem2reg,dce,sroa,sccp",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,mem2reg,dce,sccp,sroa",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,mem2reg,sccp,sroa,dce",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
"instcombine,gvn,mem2reg,sccp,dce,sroa",error,opt: Unknown command line argument '-enable-new-pm'.  Try: 'opt --help'
